month,retail_format,nominal_sales_million_ars,constant_sales_million_ars,real_sales_index_original,real_sales_index_sa,real_sales_index_trend,nominal_sales_yoy_pct,real_sales_yoy_pct,real_sales_sa_mom_pct,is_partial_year
2023-11-01,supermarkets,764304.8156269495,25210.959841150558,91.68391365180575,91.568802573168,87.46925765547,168.37822065911797,-1.664952107022577,-8.411094996796354,False
2023-12-01,supermarkets,1147057.7470741502,28928.3521157072,105.20283853438916,82.072868609301,85.6503777492652,218.92161200044725,-6.604938857687226,-10.370272076321285,False
2024-01-01,supermarkets,1101738.03986254,22108.256834826778,80.40041011559113,81.0278560780715,83.9457881955939,248.0142937451279,-13.869738432686042,-1.2732740416375288,False
2024-02-01,supermarkets,1193012.0067699489,21301.04127202511,77.4648343808862,80.6068821380778,82.5769343530934,274.6696986198495,-11.387372761029235,-0.5195422418533324,False
2024-03-01,supermarkets,1422932.9631105105,23171.993346845,84.26886760910402,80.355303490669,81.6704281701835,291.8324304382313,-9.325097826115748,-0.3121056673273226,False
2024-04-01,supermarkets,1335118.1618884995,20588.467376342225,74.87343905385532,80.6765509123979,81.2198268884795,246.05222472031238,-17.555473930609335,0.3997837202695642,False
2024-05-01,supermarkets,1412879.7326910794,21018.59796067804,76.43768157384365,81.1993530354452,81.1273996545612,263.3041894656107,-9.755782344460195,0.648022401967796,False
2024-06-01,supermarkets,1532919.3287259813,22165.78026685792,80.60960379201317,81.2585759433097,81.2499124950305,260.00438343155616,-7.343908384510655,0.07293519671103255,False
2024-07-01,supermarkets,1588377.3988490012,22315.666868658016,81.15469173565315,82.4689494616719,81.4650773160456,229.08185911129348,-12.309336654843882,1.489533263795595,False
2024-08-01,supermarkets,1668468.3039195088,22625.955413183267,82.28310843627247,82.2367155122057,81.7205975613075,210.46513711200902,-10.088499169065956,-0.2816016827935086,False
2024-09-01,supermarkets,1585125.5884058897,20934.54082186317,76.13199359109811,82.674732898547,82.0270108484249,173.24425695349484,-12.791594008668927,0.5326299617064434,False
2024-10-01,supermarkets,1698369.9617121704,22010.07437087158,80.04335300217268,81.6079185024487,82.417963129874,139.75260897574796,-17.809058545949917,-1.2903753767277815,False
2024-11-01,supermarkets,1824221.7737898105,23282.69425171925,84.67145014731827,83.1502840202207,82.9185154126514,138.67725761919013,-7.648521125657004,1.8899704171791987,False
